,Artist,Total Followers
342,Josh Abbott Band,169395
343,The Chemical Brothers,1252257
344,John Mayer,4483558
345,The Black Crowes,410016
346,Davina Michelle,212634
347,Shoreline Mafia,592295
348,Fats Domino,283220
349,Kid Cudi,3651795
350,Led Zeppelin,8850256
351,The Offspring,3448376
352,Bonnie Tyler,855223
353,Maroon 5,23890918
354,Blind Melon,683478
355,Darude,110406
356,Peter Sarstedt,14522
357,Kyteman,20077
358,Kygo,6216233
359,Gorillaz,5402898
360,Roxette,1082337
361,Tracy Chapman,965286
362,Gerry Rafferty,159508
363,Eric Clapton,3397807
364,Paul Young,479082
365,Smash Mouth,586696
366,Nick & Simon,121150
367,The Righteous Brothers,269048
368,James Bay,2810813
369,Alannah Myles,56198
370,The Temptations,1660170
371,Paolo Nutini,898957
372,Harry Styles,6941399
373,blink-182,5747635
374,Fischer-Z,18517
375,Frankie Goes To Hollywood,401540
376,Augustana,170119
377,Sinéad O'Connor,520046
378,Jethro Tull,1031897
379,Of Monsters and Men,2861526
380,Faster Pussycat,134114
381,Iron Butterfly,207857
382,Galantis,2892849
383,H.E.R.,2415471
384,Eagles,4781765
385,The Mark & Clark Band,401
386,K's Choice,46459
387,Marc Cohn,56824
388,Cage The Elephant,1962781
389,Pop Smoke,469751
390,Ellen Foley,3061
391,Ghostface Killah,499086
392,Disturbed,3784534
393,Queens of the Stone Age,2220169
394,J.J. Cale,395767
395,Limp Bizkit,3119197
396,The Black Keys,3165776
397,John Farnham,165828
398,Traveling Wilburys,542275
399,Eminem,34387107
400,Staind,1498045
401,Jon & Vangelis,93634
402,Whitesnake,1551620
403,Destiny's Child,3972484
404,Tom Walker,652409
405,Frank Sinatra,3783928
406,Motörhead,2166387
407,Percy Sledge,297214
408,Jason Mraz,5211422
409,The Beatles,15948881
410,The Waterboys,145548
411,OneRepublic,9730363
412,Owl City,1890151
413,Gilbert O'Sullivan,168458
414,INXS,1360904
415,Anita Meyer,12054
416,Amy Macdonald,310484
417,Gladys Knight & The Pips,615963
418,Ryuichi Sakamoto,402948
419,Lewis Capaldi,3317775
420,Shawn Mendes,25903871
421,Little River Band,548169
422,Chef'Special,126266
423,Calum Scott,2313742
424,Joy Division,1296828
425,Imagine Dragons,26576079
426,Charly Lownoise & Mental Theo,12813
427,Toontje Lager,13055
428,Plain White T's,809754
429,Snow Patrol,1956113
430,Kodaline,1857068
431,Roberta Flack,523630
432,Killing Joke,165080
433,Fink,246843
434,Mark Ronson,789971
435,Womack & Womack,33930
436,Glue Trip,41865
437,Robert Cray,141569
438,Fatboy Slim,742434
439,De Jeugd Van Tegenwoordig,116694
440,Norah Jones,2152743
441,Solomon Burke,148207
442,George Michael,2362487
443,The Shadows,140393
444,Nina Simone,1624260
445,Ludovico Einaudi,1718158
446,Charlie Puth,10096889
447,Wolfmother,649225
448,Nicki Minaj,17392670
449,Joost,40490
450,The Mamas & The Papas,827180
451,Vandenberg,16427
452,Lady Gaga,11383310
453,Ike & Tina Turner,146810
454,Rage Against The Machine,3425731
455,The Pointer Sisters,443092
456,Spice Girls,1715337
457,5 Seconds of Summer,6015776
458,Puddle Of Mudd,1141861
459,Joe Bonamassa,556100
460,Sarah Brightman,290831
461,Jean-Michel Jarre,320817
462,Thin Lizzy,698854
463,Harry Styles,6941399
464,The Dubliners,238689
465,Damien Rice,837473
466,Buena Vista Social Club,741311
467,Henk Westbroek,3391
468,Herman Brood & His Wild Romance,18132
469,Barry Manilow,731872
470,Rag'n'Bone Man,1168219
471,Queen,25306898
472,Evergrey,61591
473,Édith Piaf,662501
474,Flume,1979606
475,H.E.R.,2415471
476,Steely Dan,1058022
477,The Beach Boys,2522293
478,Patti Smith,594899
479,Lady Antebellum,2900332
480,Paul Weller,279085
481,Gerry & The Pacemakers,135822
482,Marco Borsato,520618
483,Roy Orbison,948192
484,Chris Isaak,219007
485,Lukas Graham,1648543
486,James Arthur,5825417
487,The Teskey Brothers,167231
488,Journey,2859424
489,Nothing But Thieves,543575
490,Alex Brightman,5882
491,B.o.B,1711486
492,Dusty Springfield,254788
493,Gloria Gaynor,461472
494,Suzanne Vega,257152
495,Chris Stapleton,2259808
496,Sarah Jeffery,38926
497,SZA,3237161
498,Kansas,846729
499,Tanita Tikaram,71983
500,Galantis,2892849
501,Foo Fighters,7461956
502,Kim Wilde,311239
503,Lady Gaga,11383310
504,The Blues Brothers,258152
505,4 Non Blondes,264195
506,Jim Croce,628242
507,Steppenwolf,844304
508,Chris de Burgh,231710
509,Devin Dawson,122835
510,The Dave Brubeck Quartet,136077
511,The Fatal Flowers,2227
512,Run–D.M.C.,737762
513,John Hiatt,112479
514,Dua Lipa,16524523
515,Pouya,547020
516,Charles Aznavour,541751
517,Avicii,17244813
518,Gary Moore,334549
519,George Baker Selection,25867
520,Tiësto,4922636
521,Lenny Kravitz,1886835
522,ZZ Top,2416392
523,Manu Chao,981393
524,The Doors,4826872
525,Quinn XCII,460492
526,Split Enz,106064
527,Kastifur,2090
528,Hans De Booij,3234
529,Frank Ticheli,5744
530,Lorde,5677005
531,Liesbeth List,12193
532,The Cranberries,2001062
533,Rare Earth,85210
534,Barry White,983008
535,Uriah Heep,405212
536,New Order,1156487
537,Tom Petty and the Heartbreakers,1359056
538,The Lacs,332855
539,Yusuf / Cat Stevens,1008538
540,Shocking Blue,57812
541,Extreme,308261
542,Talk Talk,284659
543,The Hollies,642693
544,Frank Boeijen Groep,30868
545,Soft Cell,348682
546,Mary J. Blige,2228039
547,Steve Miller Band,1518686
548,Patrick Hernandez,16590
549,Jaden,1076876
550,Frans Halsema,7149
551,The Animals,1403000
552,Marshmello,23294760
553,Simon & Garfunkel,2638390
554,haroinfather,165916
555,The Proclaimers,188833
556,Jefferson Airplane,930033
557,Melissa Etheridge,251820
558,The Script,5832696
559,Carole King,749445
560,Aerosmith,8320835
561,Drake,46095758
562,JAY-Z,5213300
563,DJ Paul Elstak,144022
564,Art Garfunkel,307976
565,Katie Noel,51274
566,The Blue Nile,37044
567,Phil Collins,2762436
568,Kraantje Pappie,235304
569,Tones And I,1094865
570,Steve Harley,16306
571,Mike Oldfield,343330
572,Paul McCartney,2901385
573,Stef Bos,43020
574,Het Goede Doel,24268
575,Bronski Beat,271315
576,Alain Clark,48283
577,Peter Maffay,222811
578,Ginuwine,1526099
579,The White Stripes,2078747
580,The Chainsmokers,15874711
